instrument,variant,pool,n_pool_members,model,n_modelling,n_oos_for_instrument,mean_auc,std_auc,sem,is_champion
nq1s,simulated_missingness,equity_all,3,lightgbm,1083,1661,0.549229,0.046023,0.012300,False
nq1s,simulated_missingness,equity_all,3,xgboost,1083,1661,0.543936,0.041143,0.010996,False
nq1s,simulated_missingness,equity_all,3,multitask_nn,1083,1661,0.554716,0.056424,0.015080,False
fesx1s,simulated_missingness,fesx1s,1,elasticnet_logistic,381,1776,0.491002,0.038773,0.010363,False
fesx1s,simulated_missingness,fesx1s,1,random_forest,381,1776,0.504375,0.053690,0.014349,False
fesx1s,simulated_missingness,fesx1s,1,lightgbm,381,1776,0.476000,0.059193,0.015820,False
fesx1s,simulated_missingness,fesx1s,1,xgboost,381,1776,0.488123,0.055058,0.014715,False
fesx1s,simulated_missingness,equity_all,3,elasticnet_logistic,1083,1779,0.501877,0.040499,0.010824,False
fesx1s,simulated_missingness,equity_all,3,random_forest,1083,1779,0.517364,0.048425,0.012942,True
fesx1s,simulated_missingness,equity_all,3,lightgbm,1083,1779,0.491216,0.054564,0.014583,False
fesx1s,simulated_missingness,equity_all,3,xgboost,1083,1779,0.516596,0.041785,0.011167,False
fesx1s,simulated_missingness,equity_all,3,multitask_nn,1083,1779,0.504012,0.043922,0.011739,False
cl1s,simulated_missingness,energy_cl_ho,2,elasticnet_logistic,263,1066,0.508841,0.069195,0.018493,False
cl1s,simulated_missingness,energy_cl_ho,2,random_forest,263,1066,0.518372,0.040025,0.010697,False
cl1s,simulated_missingness,energy_cl_ho,2,lightgbm,263,1066,0.524118,0.045711,0.012217,False
cl1s,simulated_missingness,energy_cl_ho,2,xgboost,263,1066,0.508597,0.041623,0.011124,False
cl1s,simulated_missingness,energy_cl_ho,2,multitask_nn,263,1066,0.511380,0.053863,0.014395,False
cl1s,simulated_missingness,energy_all,4,elasticnet_logistic,668,1066,0.488593,0.061473,0.016429,False
cl1s,simulated_missingness,energy_all,4,random_forest,668,1066,0.503643,0.064842,0.017330,False
cl1s,simulated_missingness,energy_all,4,lightgbm,668,1066,0.503553,0.079910,0.021357,False
cl1s,simulated_missingness,energy_all,4,xgboost,668,1066,0.475565,0.058608,0.015664,False
cl1s,simulated_missingness,energy_all,4,multitask_nn,668,1066,0.558709,0.054095,0.014458,True
ho1s,simulated_missingness,energy_cl_ho,2,elasticnet_logistic,263,158,0.446531,0.171744,0.047633,True
ho1s,simulated_missingness,energy_cl_ho,2,random_forest,263,158,0.386702,0.184078,0.051054,False
ho1s,simulated_missingness,energy_cl_ho,2,lightgbm,263,158,0.501121,0.225221,0.062465,False
ho1s,simulated_missingness,energy_cl_ho,2,xgboost,263,158,0.474387,0.229023,0.063520,False
ho1s,simulated_missingness,energy_cl_ho,2,multitask_nn,263,158,0.405128,0.220737,0.061221,False
ho1s,simulated_missingness,energy_all,4,elasticnet_logistic,668,160,0.470467,0.196530,0.054508,False
ho1s,simulated_missingness,energy_all,4,random_forest,668,160,0.494628,0.182210,0.050536,False
ho1s,simulated_missingness,energy_all,4,lightgbm,668,160,0.451323,0.190856,0.052934,False
ho1s,simulated_missingness,energy_all,4,xgboost,668,160,0.414845,0.202707,0.056221,False
ho1s,simulated_missingness,energy_all,4,multitask_nn,668,160,0.446103,0.189659,0.052602,False
rb1s,simulated_missingness,rb1s,1,elasticnet_logistic,377,1756,0.355884,0.129760,0.034680,False
rb1s,simulated_missingness,rb1s,1,random_forest,377,1756,0.512829,0.042243,0.011290,True
rb1s,simulated_missingness,rb1s,1,lightgbm,377,1756,0.455731,0.111050,0.029679,False
rb1s,simulated_missingness,rb1s,1,xgboost,377,1756,0.485952,0.097792,0.026136,False
rb1s,simulated_missingness,energy_all,4,elasticnet_logistic,668,1750,0.377647,0.105381,0.028164,False
rb1s,simulated_missingness,energy_all,4,random_forest,668,1750,0.477914,0.070468,0.018833,False
rb1s,simulated_missingness,energy_all,4,lightgbm,668,1750,0.477593,0.074876,0.020011,False
rb1s,simulated_missingness,energy_all,4,xgboost,668,1750,0.469746,0.060609,0.016198,False
rb1s,simulated_missingness,energy_all,4,multitask_nn,668,1750,0.410092,0.137787,0.036825,False
ng1s,simulated_missingness,energy_all,4,elasticnet_logistic,668,140,0.564881,0.197413,0.056988,True
ng1s,simulated_missingness,energy_all,4,random_forest,668,140,0.503387,0.184267,0.053193,False
ng1s,simulated_missingness,energy_all,4,lightgbm,668,140,0.508515,0.333593,0.096300,False
ng1s,simulated_missingness,energy_all,4,xgboost,668,140,0.526029,0.301327,0.086986,False
ng1s,simulated_missingness,energy_all,4,multitask_nn,668,140,0.386598,0.255273,0.073691,False
gc1s,simulated_missingness,precious,3,elasticnet_logistic,797,566,0.474609,0.118804,0.031752,False
gc1s,simulated_missingness,precious,3,random_forest,797,566,0.504456,0.074719,0.019969,False
gc1s,simulated_missingness,precious,3,lightgbm,797,566,0.504203,0.074337,0.019867,False
gc1s,simulated_missingness,precious,3,xgboost,797,566,0.511528,0.076100,0.020339,False
gc1s,simulated_missingness,precious,3,multitask_nn,797,566,0.539568,0.100073,0.026746,False
gc1s,simulated_missingness,metals_all,4,elasticnet_logistic,1174,566,0.448085,0.078009,0.020849,False
gc1s,simulated_missingness,metals_all,4,random_forest,1174,566,0.538753,0.086048,0.022997,True
gc1s,simulated_missingness,metals_all,4,lightgbm,1174,566,0.556325,0.074355,0.019872,False
gc1s,simulated_missingness,metals_all,4,xgboost,1174,566,0.539069,0.088834,0.023742,False
gc1s,simulated_missingness,metals_all,4,multitask_nn,1174,566,0.549707,0.095458,0.025512,False
si1s,simulated_missingness,si1s,1,elasticnet_logistic,340,1584,0.491685,0.054812,0.014649,False
si1s,simulated_missingness,si1s,1,random_forest,340,1584,0.474207,0.050160,0.013406,False
si1s,simulated_missingness,si1s,1,lightgbm,340,1584,0.501195,0.057336,0.015324,True
si1s,simulated_missingness,si1s,1,xgboost,340,1584,0.497136,0.044337,0.011850,False
