date,year,holiday_name,holiday_type,venue_scope,venues_closed,observed_scope,n_missing,n_active,affected_instruments
2012-12-25,2012,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2012-12-26,2012,Boxing Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2013-01-01,2013,New Year's Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2013-01-21,2013,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2013-02-18,2013,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2013-03-29,2013,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2013-04-01,2013,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2013-05-01,2013,Labour Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2013-05-27,2013,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2013-07-04,2013,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2013-09-02,2013,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2013-11-28,2013,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2013-12-25,2013,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2013-12-26,2013,Boxing Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2014-01-01,2014,New Year's Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2014-01-20,2014,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2014-02-17,2014,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2014-04-18,2014,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2014-04-21,2014,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2014-05-01,2014,Labour Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2014-05-26,2014,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2014-07-04,2014,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2014-09-01,2014,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2014-11-27,2014,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2014-12-25,2014,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2014-12-26,2014,Boxing Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2015-01-01,2015,New Year's Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2015-01-19,2015,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2015-02-16,2015,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2015-04-03,2015,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,mixed,9,11,"cl1s,fesx1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2015-04-06,2015,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
