date,instrument,weight
2022-05-24,es1s,0.0000000000
2022-05-24,fesx1s,-0.4059876018
2022-05-24,gc1s,0.0000000000
2022-05-24,hg1s,0.0000000000
2022-05-24,ho1s,0.0000000000
2022-05-24,ng1s,0.0000000000
2022-05-24,nq1s,0.2742110298
2022-05-24,pl1s,0.2971271693
2022-05-24,rb1s,0.0000000000
2022-05-24,si1s,0.0000000000
2022-05-25,cl1s,0.0436725948
2022-05-25,es1s,0.0000000000
2022-05-25,fesx1s,-0.4094065588
2022-05-25,gc1s,0.0000000000
2022-05-25,hg1s,0.0000000000
2022-05-25,ho1s,0.0000000000
2022-05-25,ng1s,-0.0010399313
2022-05-25,nq1s,0.2759339669
2022-05-25,pl1s,0.0000000000
2022-05-25,rb1s,0.0000000000
2022-05-25,si1s,0.0000000000
2022-05-26,cl1s,0.0528353002
2022-05-26,es1s,0.0000000000
2022-05-26,fesx1s,-0.4080176656
2022-05-26,gc1s,0.0000000000
2022-05-26,hg1s,0.0000000000
2022-05-26,ho1s,0.0000000000
2022-05-26,ng1s,0.0000000000
2022-05-26,nq1s,0.2724781835
2022-05-26,pl1s,0.3041202323
2022-05-26,rb1s,0.0000000000
2022-05-26,si1s,0.0000000000
2022-05-27,cl1s,0.0605710795
2022-05-27,es1s,0.0000000000
2022-05-27,fesx1s,-0.4081200528
2022-05-27,gc1s,0.0000000000
2022-05-27,hg1s,0.0000000000
2022-05-27,ho1s,0.0000000000
2022-05-27,ng1s,0.0000000000
2022-05-27,nq1s,0.2677362720
2022-05-27,pl1s,0.0000000000
2022-05-27,rb1s,0.0000000000
2022-05-27,si1s,0.0000000000
2022-05-30,cl1s,0.0000000000
2022-05-30,es1s,0.0000000000
2022-05-30,fesx1s,-0.4128376070
2022-05-30,gc1s,0.0000000000
2022-05-30,hg1s,0.0000000000
2022-05-30,ho1s,0.0000000000
2022-05-30,ng1s,0.0000000000
2022-05-30,nq1s,0.0000000000
2022-05-30,pl1s,0.0000000000
2022-05-30,rb1s,0.0000000000
2022-05-30,si1s,0.0000000000
2022-05-31,cl1s,0.0817433284
2022-05-31,es1s,0.0000000000
2022-05-31,fesx1s,-0.4130229376
