instrument,date,t1,partition,side,sigma,pt,sl,h,ret,label,touch
cl1s,2021-03-05,2021-03-08,train,-1.0,0.020510049800797115,0.25,0.25,1,0.015736117531880423,1,pt
cl1s,2021-03-08,2021-03-09,train,-1.0,0.021175983431806367,0.25,0.25,1,0.015987701887852368,1,pt
cl1s,2021-04-15,2021-04-16,train,1.0,0.03552517589983759,0.25,0.25,1,-0.0050385765880957,0,vert
cl1s,2021-04-16,2021-04-19,train,1.0,0.031220837883444076,0.25,0.25,1,0.0037980690280543516,1,vert
cl1s,2021-04-19,2021-04-20,train,1.0,0.030860060208676793,0.25,0.25,1,-0.011981712231053265,0,sl
cl1s,2021-04-20,2021-04-21,train,1.0,0.031008742775000226,0.25,0.25,1,-0.0210627092405844,0,sl
cl1s,2021-04-21,2021-04-22,train,1.0,0.027626868143928885,0.25,0.25,1,0.001303993761022637,1,vert
cl1s,2021-04-22,2021-04-23,train,1.0,0.024461651143095963,0.25,0.25,1,0.011557870465453757,1,pt
cl1s,2021-04-23,2021-04-26,train,1.0,0.022262023753551807,0.25,0.25,1,-0.0037013193456250093,0,vert
cl1s,2021-04-26,2021-04-27,train,1.0,0.020472137109463925,0.25,0.25,1,0.016637053493710363,1,pt
cl1s,2021-04-27,2021-04-28,train,1.0,0.02068620440723618,0.25,0.25,1,0.014617095747764264,1,pt
cl1s,2021-04-28,2021-04-29,train,1.0,0.020460167799650028,0.25,0.25,1,0.018008142661985582,1,pt
cl1s,2021-04-29,2021-04-30,train,1.0,0.019781117016779152,0.25,0.25,1,-0.021996615883449366,0,sl
cl1s,2021-04-30,2021-05-03,train,1.0,0.019010777239918314,0.25,0.25,1,0.014312677077606084,1,pt
cl1s,2021-05-03,2021-05-04,train,1.0,0.01540349072556872,0.25,0.25,1,0.018607535731864022,1,pt
cl1s,2021-05-04,2021-05-05,train,1.0,0.015640537397010934,0.25,0.25,1,-0.0009133808307781877,0,vert
cl1s,2021-05-05,2021-05-06,train,1.0,0.015684928719288813,0.25,0.25,1,-0.01401797967955598,0,sl
cl1s,2021-05-12,2021-05-13,train,1.0,0.012427990197187296,0.25,0.25,1,-0.03420096836670106,0,sl
cl1s,2021-05-14,2021-05-17,train,1.0,0.015753694029361442,0.25,0.25,1,0.014075887465420545,1,pt
cl1s,2021-05-17,2021-05-18,train,1.0,0.015987931935601104,0.25,0.25,1,-0.01176825582949037,0,sl
cl1s,2021-05-19,2021-05-20,train,1.0,0.017102718260569468,0.25,0.25,1,-0.02225730041520879,0,sl
cl1s,2021-05-20,2021-05-21,train,1.0,0.017933947786950524,0.25,0.25,1,0.02647723574370242,1,pt
cl1s,2021-05-21,2021-05-24,train,1.0,0.018692415364696558,0.25,0.25,1,0.03884869446638328,1,pt
cl1s,2021-05-24,2021-05-25,train,1.0,0.02038275596290684,0.25,0.25,1,0.0003028010018066851,1,vert
cl1s,2021-05-25,2021-05-26,train,1.0,0.02014877608388011,0.25,0.25,1,0.0021189648597681465,1,vert
cl1s,2021-05-26,2021-05-27,train,1.0,0.019947372846489123,0.25,0.25,1,0.009666213380978839,1,pt
cl1s,2021-05-27,2021-05-28,train,1.0,0.019682378079540555,0.25,0.25,1,-0.007928197292897399,0,sl
cl1s,2021-05-28,2021-06-01,train,1.0,0.019027527318929212,0.25,0.25,1,0.021109771003010813,1,pt
cl1s,2021-06-01,2021-06-02,train,1.0,0.01930750094301636,0.25,0.25,1,0.016391021752605095,1,pt
cl1s,2021-06-02,2021-06-03,train,1.0,0.019218515945675512,0.25,0.25,1,-0.0002905710615057622,0,vert
cl1s,2021-06-03,2021-06-04,train,1.0,0.019213463465089477,0.25,0.25,1,0.01177154491325072,1,pt
cl1s,2021-06-04,2021-06-07,train,1.0,0.018912191851459172,0.25,0.25,1,-0.005601838775200152,0,sl
cl1s,2021-06-07,2021-06-08,train,1.0,0.01902590202677492,0.25,0.25,1,0.011844576176264443,1,pt
cl1s,2021-06-08,2021-06-09,train,1.0,0.01910560497895376,0.25,0.25,1,-0.001284796471922589,0,vert
cl1s,2021-06-09,2021-06-10,train,1.0,0.019134080366902628,0.25,0.25,1,0.004716981089734951,1,vert
cl1s,2021-06-10,2021-06-11,train,1.0,0.019027685402715124,0.25,0.25,1,0.00882060011060748,1,pt
cl1s,2021-06-15,2021-06-16,train,1.0,0.01639962545045782,0.25,0.25,1,0.0004159730221426905,1,vert
cl1s,2021-06-16,2021-06-17,train,1.0,0.015991866361913742,0.25,0.25,1,-0.01626129237684637,0,sl
cl1s,2021-06-17,2021-06-18,train,1.0,0.014207732079830171,0.25,0.25,1,0.007205425454222203,1,pt
cl1s,2021-06-18,2021-06-21,train,1.0,0.012562848023595006,0.25,0.25,1,0.025669799317895148,1,pt
cl1s,2021-06-21,2021-06-22,train,1.0,0.012501408568181384,0.25,0.25,1,-0.0036925600216164423,0,sl
cl1s,2021-06-22,2021-06-23,train,1.0,0.010359946286004064,0.25,0.25,1,0.003157171980925577,1,pt
cl1s,2021-06-24,2021-06-25,train,1.0,0.01029887420808746,0.25,0.25,1,0.01023192365214376,1,pt
cl1s,2021-06-25,2021-06-28,train,1.0,0.01031220675708901,0.25,0.25,1,-0.015395003207010483,0,sl
cl1s,2021-06-28,2021-06-29,train,1.0,0.010940897546023879,0.25,0.25,1,0.0009600874213293586,1,vert
cl1s,2021-06-29,2021-06-30,train,1.0,0.010294017448878366,0.25,0.25,1,0.006714168623500161,1,pt
cl1s,2021-06-30,2021-07-01,train,1.0,0.00990337900185144,0.25,0.25,1,0.02395535571856877,1,pt
cl1s,2021-07-01,2021-07-02,train,1.0,0.010838741180457209,0.25,0.25,1,-0.0009304799773254269,0,vert
cl1s,2021-07-02,2021-07-06,val,1.0,0.010770865592366431,0.25,0.25,1,-0.023815859286396623,0,sl
cl1s,2021-07-06,2021-07-07,val,1.0,0.012318699480434629,0.25,0.25,1,-0.015946572453926167,0,sl
cl1s,2021-07-07,2021-07-08,val,1.0,0.012842610136811542,0.25,0.25,1,0.010249307859243384,1,pt
cl1s,2021-07-08,2021-07-09,val,1.0,0.012960578871077868,0.25,0.25,1,0.022210035674508966,1,pt
cl1s,2021-07-09,2021-07-12,val,1.0,0.013688773140787577,0.25,0.25,1,-0.0061695282619749214,0,sl
cl1s,2021-07-12,2021-07-13,val,1.0,0.01377007201167743,0.25,0.25,1,0.015519568135940354,1,pt
