date,instrument,weight
2022-04-15,ho1s,0.0
2022-04-15,ng1s,0.0
2022-04-15,nq1s,-0.03141953
2022-04-15,pl1s,0.03219562
2022-04-15,rb1s,0.0
2022-04-15,si1s,0.0
2022-04-18,cl1s,0.0
2022-04-18,es1s,0.0
2022-04-18,fesx1s,0.03432339
2022-04-18,gc1s,0.0
2022-04-18,hg1s,0.0
2022-04-18,ho1s,0.0
2022-04-18,ng1s,0.0
2022-04-18,nq1s,-0.03193945
2022-04-18,pl1s,0.03160471
2022-04-18,rb1s,0.0
2022-04-18,si1s,0.0
2022-04-19,cl1s,0.0
2022-04-19,es1s,0.0
2022-04-19,fesx1s,-0.03486349
2022-04-19,gc1s,0.0
2022-04-19,hg1s,0.0
2022-04-19,ho1s,0.0
2022-04-19,ng1s,0.0
2022-04-19,nq1s,-0.03162724
2022-04-19,pl1s,0.03069631
2022-04-19,rb1s,0.0
2022-04-19,si1s,0.0
2022-04-20,cl1s,0.0
2022-04-20,es1s,0.0
2022-04-20,fesx1s,-0.03483784
2022-04-20,gc1s,0.0
2022-04-20,hg1s,-0.03904494
2022-04-20,ho1s,0.0
2022-04-20,ng1s,0.0
2022-04-20,nq1s,-0.03183743
2022-04-20,pl1s,0.03121068
2022-04-20,rb1s,0.0
2022-04-20,si1s,0.0
2022-04-21,cl1s,0.0
2022-04-21,es1s,0.0
2022-04-21,fesx1s,-0.0352184
2022-04-21,gc1s,0.0
2022-04-21,hg1s,0.0
2022-04-21,ho1s,0.0
2022-04-21,ng1s,0.0
2022-04-21,nq1s,-0.03182565
2022-04-21,pl1s,0.03122253
2022-04-21,rb1s,0.0
2022-04-21,si1s,0.0
2022-04-22,cl1s,0.0
2022-04-22,es1s,0.0
2022-04-22,fesx1s,-0.03464605
2022-04-22,gc1s,0.0
2022-04-22,hg1s,0.03804352
2022-04-22,ho1s,0.0
2022-04-22,ng1s,0.0
2022-04-22,nq1s,0.03135883
2022-04-22,pl1s,0.02955249
2022-04-22,rb1s,0.0
2022-04-22,si1s,0.0
2022-04-25,cl1s,0.0
2022-04-25,es1s,0.0
2022-04-25,fesx1s,0.0342952
2022-04-25,gc1s,0.0
2022-04-25,hg1s,0.03663222
2022-04-25,ho1s,0.0
2022-04-25,ng1s,0.0
2022-04-25,nq1s,-0.03150259
2022-04-25,pl1s,0.0
2022-04-25,rb1s,0.0
2022-04-25,si1s,0.0
2022-04-26,cl1s,0.0
2022-04-26,es1s,0.0
2022-04-26,fesx1s,0.0347838
2022-04-26,gc1s,0.0
2022-04-26,hg1s,0.07387927
2022-04-26,ho1s,0.0
2022-04-26,ng1s,0.0
2022-04-26,nq1s,0.03015954
2022-04-26,pl1s,0.0
2022-04-26,rb1s,0.0
2022-04-26,si1s,0.0
2022-04-27,cl1s,0.0154299
2022-04-27,es1s,0.0
2022-04-27,fesx1s,0.03536043
2022-04-27,gc1s,0.0
2022-04-27,hg1s,0.11171825
2022-04-27,ho1s,0.0
2022-04-27,ng1s,0.0
2022-04-27,nq1s,0.03065782
2022-04-27,pl1s,0.03031726
2022-04-27,rb1s,0.0
2022-04-27,si1s,0.0
2022-04-28,cl1s,0.01552603
2022-04-28,es1s,0.0
2022-04-28,fesx1s,-0.03549094
2022-04-28,gc1s,0.0
2022-04-28,hg1s,0.03829751
2022-04-28,ho1s,0.0
2022-04-28,ng1s,0.0
2022-04-28,nq1s,-0.02937572
2022-04-28,pl1s,0.03080795
2022-04-28,rb1s,0.0
2022-04-28,si1s,0.0
2022-04-29,cl1s,0.01576938
2022-04-29,es1s,0.0
2022-04-29,fesx1s,0.03592244
2022-04-29,gc1s,0.0
2022-04-29,hg1s,0.03889054
