date,instrument,f5_signal,f5_abs_signal,f5_trailing_run_length,f5_days_since_flip,f5_days_since_nonzero,f5_participation_20,f5_participation_60,f5_long_bias_20,f5_sign_agree_mr,f5_signal_entropy_20,f5_flip_rate_60
2020-10-12,es1s,1.0,1.0,25.0,24.0,0.0,1.0,0.9166666666666666,1.0,-1.0,-0.0,0.25
2020-10-13,es1s,1.0,1.0,26.0,25.0,0.0,1.0,0.9166666666666666,1.0,-1.0,-0.0,0.25
2020-10-14,es1s,1.0,1.0,27.0,26.0,0.0,1.0,0.9166666666666666,1.0,-1.0,-0.0,0.25
2020-10-15,es1s,1.0,1.0,28.0,27.0,0.0,1.0,0.9166666666666666,1.0,-1.0,-0.0,0.23333333333333334
2020-10-16,es1s,1.0,1.0,29.0,28.0,0.0,1.0,0.9166666666666666,1.0,-1.0,-0.0,0.21666666666666667
2020-10-19,es1s,1.0,1.0,30.0,29.0,0.0,1.0,0.9333333333333333,1.0,-1.0,-0.0,0.2
2020-10-20,es1s,1.0,1.0,31.0,30.0,0.0,1.0,0.9333333333333333,1.0,-1.0,-0.0,0.18333333333333332
2020-10-21,es1s,1.0,1.0,32.0,31.0,0.0,1.0,0.9333333333333333,1.0,1.0,-0.0,0.18333333333333332
2020-10-22,es1s,1.0,1.0,33.0,32.0,0.0,1.0,0.9333333333333333,1.0,1.0,-0.0,0.18333333333333332
2020-10-23,es1s,1.0,1.0,34.0,33.0,0.0,1.0,0.9333333333333333,1.0,1.0,-0.0,0.18333333333333332
2020-10-26,es1s,1.0,1.0,35.0,34.0,0.0,1.0,0.9333333333333333,1.0,1.0,-0.0,0.18333333333333332
2020-10-27,es1s,1.0,1.0,36.0,35.0,0.0,1.0,0.9333333333333333,1.0,1.0,-0.0,0.18333333333333332
2020-10-28,es1s,1.0,1.0,37.0,36.0,0.0,1.0,0.9333333333333333,1.0,1.0,-0.0,0.18333333333333332
2020-10-29,es1s,1.0,1.0,38.0,37.0,0.0,1.0,0.9333333333333333,1.0,1.0,-0.0,0.18333333333333332
2020-10-30,es1s,1.0,1.0,39.0,38.0,0.0,1.0,0.9333333333333333,1.0,1.0,-0.0,0.18333333333333332
2020-11-02,es1s,1.0,1.0,40.0,39.0,0.0,1.0,0.95,1.0,1.0,-0.0,0.16666666666666666
2020-11-03,es1s,1.0,1.0,41.0,40.0,0.0,1.0,0.95,1.0,1.0,-0.0,0.15
2020-11-04,es1s,1.0,1.0,42.0,41.0,0.0,1.0,0.95,1.0,-1.0,-0.0,0.13333333333333333
2020-11-05,es1s,1.0,1.0,43.0,42.0,0.0,1.0,0.95,1.0,-1.0,-0.0,0.13333333333333333
2020-11-06,es1s,1.0,1.0,44.0,43.0,0.0,1.0,0.9666666666666667,1.0,-1.0,-0.0,0.11666666666666667
2020-11-09,es1s,1.0,1.0,45.0,44.0,0.0,1.0,0.9666666666666667,1.0,-1.0,-0.0,0.1
2020-11-10,es1s,1.0,1.0,46.0,45.0,0.0,1.0,0.9666666666666667,1.0,-1.0,-0.0,0.1
2020-11-11,es1s,1.0,1.0,47.0,46.0,0.0,1.0,0.9666666666666667,1.0,-1.0,-0.0,0.08333333333333333
