date,instrument,f17_hmm_state_lo,f17_hmm_state_mid,f17_hmm_state_hi,f17_hmm_state_argmax
2020-02-24,hg1s,0.14825506152320675,0.8510811125230321,0.0006638259546044212,1.0
2020-02-25,hg1s,0.49212518338654215,0.5071234487209489,0.0007513678917779304,1.0
2020-02-26,hg1s,0.39816777150373683,0.6012791743508467,0.0005530541437150019,1.0
2020-02-27,hg1s,0.4363298789377398,0.563038519138492,0.0006316019240388038,1.0
2020-02-28,hg1s,0.379114058742616,0.6199163736674922,0.0009695675896500424,1.0
2020-03-02,hg1s,0.6258906532456288,0.37124554714942615,0.0028637996046455673,0.0
2020-03-03,hg1s,0.276343099846032,0.723043119061395,0.0006137810912843825,1.0
2020-03-04,hg1s,0.5055006558233002,0.4938233455490502,0.0006759986259419382,0.0
2020-03-05,hg1s,0.3722860729835663,0.6271832394738124,0.0005306875411851727,1.0
2020-03-06,hg1s,0.4085890981274357,0.5907897218561381,0.0006211800146355963,1.0
2020-03-09,hg1s,0.24365413163418784,0.7544716504292468,0.0018742179382589099,1.0
2020-03-10,hg1s,0.5074203772617715,0.4918291161204148,0.0007505066187636456,0.0
2020-03-11,hg1s,0.35428510909596356,0.6451150400727357,0.0005998508313020232,1.0
2020-03-12,hg1s,0.3525697053145458,0.6465107720842964,0.0009195225996358435,1.0
2020-03-13,hg1s,0.42533771574067386,0.5740201337897143,0.0006421504683110904,1.0
2020-03-16,hg1s,0.06089841552344172,0.9322562435350488,0.0068453409429676485,1.0
2020-03-17,hg1s,0.011432803845895876,0.9578929620208185,0.0306742341335271,1.0
2020-03-18,hg1s,2.897256074237693e-16,1.3739609669467495e-05,0.9999862603906714,2.0
2020-03-19,hg1s,6.361486790856833e-05,3.0613122050588846e-05,0.9999057720101894,2.0
2020-03-20,hg1s,2.8869221587871168e-06,0.001237451822402548,0.9987596612540584,2.0
2020-03-23,hg1s,6.890400107931877e-11,0.00026854839183954856,0.9997314515408475,2.0
2020-03-24,hg1s,1.811496191204082e-06,2.3588928116077955e-10,0.9999981882663673,2.0
