scope,members,pool_size,instrument,asset_class,model,variant,n_modelling,n_oos,mean_auc,sem,std_auc,lower_ci_1se,skipped,reason,elapsed_s
metals_all,gc1s+si1s+hg1s+pl1s,4,si1s,metals,elasticnet_logistic,without_bbg,1385,1881,0.527299,0.009777,0.036583,0.517522,False,,3.040000
metals_all,gc1s+si1s+hg1s+pl1s,4,si1s,metals,random_forest,without_bbg,1385,1881,0.529215,0.014801,0.055382,0.514413,False,,2.590000
metals_all,gc1s+si1s+hg1s+pl1s,4,si1s,metals,xgboost,without_bbg,1385,1881,0.529301,0.016487,0.061688,0.512814,False,,0.700000
metals_all,gc1s+si1s+hg1s+pl1s,4,si1s,metals,lightgbm,without_bbg,1385,1881,0.522159,0.013517,0.050575,0.508643,False,,2.210000
metals_all,gc1s+si1s+hg1s+pl1s,4,hg1s,metals,elasticnet_logistic,without_bbg,1385,2068,0.498472,0.015584,0.058309,0.482889,False,,3.030000
metals_all,gc1s+si1s+hg1s+pl1s,4,hg1s,metals,random_forest,without_bbg,1385,2068,0.538078,0.012573,0.047045,0.525505,False,,2.590000
metals_all,gc1s+si1s+hg1s+pl1s,4,hg1s,metals,xgboost,without_bbg,1385,2068,0.550398,0.011290,0.042242,0.539108,False,,0.700000
metals_all,gc1s+si1s+hg1s+pl1s,4,hg1s,metals,lightgbm,without_bbg,1385,2068,0.547800,0.012677,0.047434,0.535123,False,,2.210000
metals_all,gc1s+si1s+hg1s+pl1s,4,pl1s,metals,elasticnet_logistic,without_bbg,1385,1866,0.500841,0.020877,0.078113,0.479964,False,,3.060000
metals_all,gc1s+si1s+hg1s+pl1s,4,pl1s,metals,random_forest,without_bbg,1385,1866,0.530249,0.026445,0.098948,0.503804,False,,2.590000
metals_all,gc1s+si1s+hg1s+pl1s,4,pl1s,metals,xgboost,without_bbg,1385,1866,0.550825,0.018017,0.067415,0.532807,False,,0.700000
metals_all,gc1s+si1s+hg1s+pl1s,4,pl1s,metals,lightgbm,without_bbg,1385,1866,0.526387,0.021548,0.080627,0.504839,False,,2.210000
precious,gc1s+si1s+pl1s,3,gc1s,metals,elasticnet_logistic,without_bbg,941,645,0.497034,0.028978,0.108427,0.468055,False,,1.690000
precious,gc1s+si1s+pl1s,3,gc1s,metals,random_forest,without_bbg,941,645,0.440050,0.024047,0.089976,0.416003,False,,1.980000
precious,gc1s+si1s+pl1s,3,gc1s,metals,xgboost,without_bbg,941,645,0.435849,0.025910,0.096948,0.409939,False,,0.620000
precious,gc1s+si1s+pl1s,3,gc1s,metals,lightgbm,without_bbg,941,645,0.412322,0.020002,0.074841,0.392319,False,,1.520000
precious,gc1s+si1s+pl1s,3,si1s,metals,elasticnet_logistic,without_bbg,941,1879,0.540331,0.012739,0.047667,0.527591,False,,1.690000
precious,gc1s+si1s+pl1s,3,si1s,metals,random_forest,without_bbg,941,1879,0.522077,0.012133,0.045399,0.509944,False,,1.980000
precious,gc1s+si1s+pl1s,3,si1s,metals,xgboost,without_bbg,941,1879,0.513059,0.010255,0.038370,0.502804,False,,0.620000
precious,gc1s+si1s+pl1s,3,si1s,metals,lightgbm,without_bbg,941,1879,0.506417,0.007890,0.029523,0.498526,False,,1.530000
